datetime,W
2025-12-15 16:28:00,16
2025-12-15 16:28:10,16
2025-12-15 16:28:20,16
2025-12-15 16:28:30,15
2025-12-15 16:28:40,15
2025-12-15 16:28:50,15
2025-12-15 16:29:00,16
2025-12-15 16:29:10,15
2025-12-15 16:29:20,15
2025-12-15 16:29:30,16
2025-12-15 16:29:40,16
2025-12-15 16:29:50,16
2025-12-15 16:30:00,15
2025-12-15 16:30:10,16
2025-12-15 16:30:20,16
2025-12-15 16:30:30,16
2025-12-15 16:30:40,16
2025-12-15 16:30:50,16
2025-12-15 16:31:00,16
2025-12-15 16:31:10,16
2025-12-15 16:31:20,16
2025-12-15 16:31:30,16
2025-12-15 16:31:40,16
2025-12-15 16:31:50,16
2025-12-15 16:32:00,16
2025-12-15 16:32:10,16
2025-12-15 16:32:20,16
2025-12-15 16:32:30,16
2025-12-15 16:32:40,16
2025-12-15 16:32:50,16
2025-12-15 16:33:00,16
2025-12-15 16:33:10,16
2025-12-15 16:33:20,16
2025-12-15 16:33:30,16
2025-12-15 16:33:40,16
2025-12-15 16:33:50,16
2025-12-15 16:34:00,16
2025-12-15 16:34:10,16
2025-12-15 16:34:20,16
2025-12-15 16:34:30,16
2025-12-15 16:34:40,16
2025-12-15 16:34:50,16
2025-12-15 16:35:00,16
2025-12-15 16:35:10,16
2025-12-15 16:35:20,17
2025-12-15 16:35:30,16
2025-12-15 16:35:40,16
2025-12-15 16:35:50,16
2025-12-15 16:36:00,17
2025-12-15 16:36:10,16
2025-12-15 16:36:20,16
2025-12-15 16:36:30,17
2025-12-15 16:36:40,16
2025-12-15 16:36:50,16
2025-12-15 16:37:00,17
2025-12-15 16:37:10,16
2025-12-15 16:37:20,16
2025-12-15 16:37:30,17
2025-12-15 16:37:40,16
2025-12-15 16:37:50,17
2025-12-15 16:38:00,17
2025-12-15 16:38:10,16
2025-12-15 16:38:20,17
2025-12-15 16:38:30,17
2025-12-15 16:38:40,16
2025-12-15 16:38:50,17
2025-12-15 16:39:00,16
2025-12-15 16:39:10,17
2025-12-15 16:39:20,17
2025-12-15 16:39:30,17
2025-12-15 16:39:40,17
2025-12-15 16:39:50,17
2025-12-15 16:40:00,17
2025-12-15 16:40:10,17
2025-12-15 16:40:20,17
2025-12-15 16:40:30,17
2025-12-15 16:40:40,17
2025-12-15 16:40:50,17
2025-12-15 16:41:00,17
2025-12-15 16:41:10,17
2025-12-15 16:41:20,17
2025-12-15 16:41:30,17
2025-12-15 16:41:40,17
2025-12-15 16:41:50,17
2025-12-15 16:42:00,17
2025-12-15 16:42:10,17
2025-12-15 16:42:20,17
2025-12-15 16:42:30,17
2025-12-15 16:42:40,18
2025-12-15 16:42:50,18
2025-12-15 16:43:00,17
2025-12-15 16:43:10,17
2025-12-15 16:43:20,17
2025-12-15 16:43:30,17
2025-12-15 16:43:40,18
2025-12-15 16:43:50,17
2025-12-15 16:44:00,18
2025-12-15 16:44:10,17
2025-12-15 16:44:20,17
2025-12-15 16:44:30,17
2025-12-15 16:44:40,17
2025-12-15 16:44:50,18
2025-12-15 16:45:00,18
2025-12-15 16:45:10,18
2025-12-15 16:45:20,18
2025-12-15 16:45:30,18
2025-12-15 16:45:40,18
2025-12-15 16:45:50,17
2025-12-15 16:46:00,17
2025-12-15 16:46:10,18
2025-12-15 16:46:20,18
2025-12-15 16:46:30,18
2025-12-15 16:46:40,18
2025-12-15 16:46:50,17
2025-12-15 16:47:00,18
2025-12-15 16:47:10,17
2025-12-15 16:47:20,18
2025-12-15 16:47:30,18
2025-12-15 16:47:40,18
2025-12-15 16:47:50,17
2025-12-15 16:48:00,18
2025-12-15 16:48:10,18
2025-12-15 16:48:20,18
2025-12-15 16:48:30,18
2025-12-15 16:48:40,18
2025-12-15 16:48:50,18
2025-12-15 16:49:00,18
2025-12-15 16:49:10,18
2025-12-15 16:49:20,18
2025-12-15 16:49:30,18
2025-12-15 16:49:40,18
2025-12-15 16:49:50,18
2025-12-15 16:50:00,19
2025-12-15 16:50:10,18
2025-12-15 16:50:20,18
2025-12-15 16:50:30,19
2025-12-15 16:50:40,19
2025-12-15 16:50:50,19
2025-12-15 16:51:00,18
2025-12-15 16:51:10,18
2025-12-15 16:51:20,19
2025-12-15 16:51:30,18
2025-12-15 16:51:40,19
2025-12-15 16:51:50,18
2025-12-15 16:52:00,18
2025-12-15 16:52:10,18
2025-12-15 16:52:20,18
2025-12-15 16:52:30,18
2025-12-15 16:52:40,18
2025-12-15 16:52:50,19
2025-12-15 16:53:00,19
2025-12-15 16:53:10,18
2025-12-15 16:53:20,18
2025-12-15 16:53:30,18
2025-12-15 16:53:40,19
2025-12-15 16:53:50,19
2025-12-15 16:54:00,18
2025-12-15 16:54:10,19
2025-12-15 16:54:20,19
2025-12-15 16:54:30,18
2025-12-15 16:54:40,19
2025-12-15 16:54:50,18
2025-12-15 16:55:00,19
2025-12-15 16:55:10,18
2025-12-15 16:55:20,18
2025-12-15 16:55:30,19
2025-12-15 16:55:40,18
2025-12-15 16:55:50,19
2025-12-15 16:56:00,18
2025-12-15 16:56:10,19
2025-12-15 16:56:20,19
2025-12-15 16:56:30,19
2025-12-15 16:56:40,19
2025-12-15 16:56:50,19
2025-12-15 16:57:00,19
2025-12-15 16:57:10,19
2025-12-15 16:57:20,19
2025-12-15 16:57:30,19
2025-12-15 16:57:40,19
2025-12-15 16:57:50,19
2025-12-15 16:58:00,19
2025-12-15 16:58:10,19
2025-12-15 16:58:20,20
2025-12-15 16:58:30,19
2025-12-15 16:58:40,19
2025-12-15 16:58:50,19
2025-12-15 16:59:00,19
2025-12-15 16:59:10,19
2025-12-15 16:59:20,19
2025-12-15 16:59:30,19
2025-12-15 16:59:40,19
2025-12-15 16:59:50,19
2025-12-15 17:00:00,19
2025-12-15 17:00:10,20
2025-12-15 17:00:20,19
2025-12-15 17:00:30,20
2025-12-15 17:00:40,19
2025-12-15 17:00:50,20
2025-12-15 17:01:00,20
2025-12-15 17:01:10,20
2025-12-15 17:01:20,19
2025-12-15 17:01:30,19
2025-12-15 17:01:40,19
2025-12-15 17:01:50,20
2025-12-15 17:02:00,20
2025-12-15 17:02:10,20
2025-12-15 17:02:20,19
2025-12-15 17:02:30,20
2025-12-15 17:02:40,20
2025-12-15 17:02:50,20
2025-12-15 17:03:00,20
2025-12-15 17:03:10,20
2025-12-15 17:03:20,20
2025-12-15 17:03:30,20
2025-12-15 17:03:40,20
2025-12-15 17:03:50,20
2025-12-15 17:04:00,20
2025-12-15 17:04:10,20
2025-12-15 17:04:20,20
2025-12-15 17:04:30,20
2025-12-15 17:04:40,20
2025-12-15 17:04:50,20
2025-12-15 17:05:00,20
2025-12-15 17:05:10,20
2025-12-15 17:05:20,20
2025-12-15 17:05:30,20
2025-12-15 17:05:40,20
2025-12-15 17:05:50,20
2025-12-15 17:06:00,20
2025-12-15 17:06:10,21
2025-12-15 17:06:20,20
2025-12-15 17:06:30,21
2025-12-15 17:06:40,21
2025-12-15 17:06:50,20
2025-12-15 17:07:00,21
2025-12-15 17:07:10,21
2025-12-15 17:07:20,21
2025-12-15 17:07:30,21
2025-12-15 17:07:40,20
2025-12-15 17:07:50,20
2025-12-15 17:08:00,20
2025-12-15 17:08:10,20
2025-12-15 17:08:20,20
2025-12-15 17:08:30,21
2025-12-15 17:08:40,20
2025-12-15 17:08:50,21
2025-12-15 17:09:00,21
2025-12-15 17:09:10,21
2025-12-15 17:09:20,20
2025-12-15 17:09:30,20
2025-12-15 17:09:40,20
2025-12-15 17:09:50,20
2025-12-15 17:10:00,21
2025-12-15 17:10:10,20
2025-12-15 17:10:20,20
2025-12-15 17:10:30,21
2025-12-15 17:10:40,21
2025-12-15 17:10:50,21
2025-12-15 17:11:00,21
2025-12-15 17:11:10,20
2025-12-15 17:11:20,21
2025-12-15 17:11:30,21
2025-12-15 17:11:40,21
2025-12-15 17:11:50,21
2025-12-15 17:12:00,20
2025-12-15 17:12:10,20
2025-12-15 17:12:20,21
2025-12-15 17:12:30,20
2025-12-15 17:12:40,21
2025-12-15 17:12:50,21
2025-12-15 17:13:00,21
2025-12-15 17:13:10,21
2025-12-15 17:13:20,21
2025-12-15 17:13:30,21
2025-12-15 17:13:40,21
2025-12-15 17:13:50,21
2025-12-15 17:14:00,21
2025-12-15 17:14:10,21
2025-12-15 17:14:20,21
2025-12-15 17:14:30,21
2025-12-15 17:14:40,21
2025-12-15 17:14:50,21
2025-12-15 17:15:00,21
2025-12-15 17:15:10,21
2025-12-15 17:15:20,21
2025-12-15 17:15:30,22
2025-12-15 17:15:40,21
2025-12-15 17:15:50,21
2025-12-15 17:16:00,21
2025-12-15 17:16:10,22
2025-12-15 17:16:20,21
2025-12-15 17:16:30,21
2025-12-15 17:16:40,21
2025-12-15 17:16:50,22
2025-12-15 17:17:00,21
2025-12-15 17:17:10,21
2025-12-15 17:17:20,21
2025-12-15 17:17:30,21
2025-12-15 17:17:40,22
2025-12-15 17:17:50,22
2025-12-15 17:18:00,21
2025-12-15 17:18:10,21
2025-12-15 17:18:20,21
2025-12-15 17:18:30,22
2025-12-15 17:18:40,22
2025-12-15 17:18:50,22
2025-12-15 17:19:00,21
2025-12-15 17:19:10,22
2025-12-15 17:19:20,22
2025-12-15 17:19:30,21
2025-12-15 17:19:40,22
2025-12-15 17:19:50,21
2025-12-15 17:20:00,22
2025-12-15 17:20:10,22
2025-12-15 17:20:20,22
2025-12-15 17:20:30,21
2025-12-15 17:20:40,21
2025-12-15 17:20:50,22
2025-12-15 17:21:00,22
2025-12-15 17:21:10,22
2025-12-15 17:21:20,22
2025-12-15 17:21:30,22
2025-12-15 17:21:40,22
2025-12-15 17:21:50,22
2025-12-15 17:22:00,22
2025-12-15 17:22:10,22
2025-12-15 17:22:20,22
2025-12-15 17:22:30,22
2025-12-15 17:22:40,22
2025-12-15 17:22:50,22
2025-12-15 17:23:00,22
2025-12-15 17:23:10,22
2025-12-15 17:23:20,22
2025-12-15 17:23:30,22
2025-12-15 17:23:40,22
2025-12-15 17:23:50,22
2025-12-15 17:24:00,22
2025-12-15 17:24:10,23
2025-12-15 17:24:20,22
2025-12-15 17:24:30,22
2025-12-15 17:24:40,22
2025-12-15 17:24:50,22
